ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time
20269920350116296141630169163059516261671627736162778316301741631105,202699,203501,1630169,1630595,1629614,1630174,1627783,1627736,1626167,1631105,2,2,0,1,0,1,260
20269920350116296141630169163059516261671627736162778316310971631105,202699,203501,1630169,1630595,1629614,1627783,1627736,1626167,1631105,1631097,6,8,-2,9,10,19,2630
20269920350116296141630169163059516261671627783163017416310931631105,202699,203501,1630169,1630595,1629614,1627783,1626167,1631105,1630174,1631093,17,18,-1,10,9,19,2970
20269920350116296141630169163059516261671627783163109316310971631105,202699,203501,1630169,1630595,1629614,1627783,1626167,1631105,1631093,1631097,0,0,0,1,1,2,340
20269920350116296141630169163059516261671627783163019116310971641842,202699,203501,1630169,1630595,1629614,1627783,1626167,1631097,1630191,1641842,0,3,-3,0,1,1,320
1626167162778316296141630169163059516301911631093163109716313231641842,1630169,1630595,1629614,1627783,1626167,1631097,1630191,1641842,1631093,1631323,0,0,0,1,1,2,260
1629614163016916301911630595163109716301671631093163132316418421642402,1630169,1630595,1629614,1631097,1630191,1641842,1631093,1631323,1630167,1642402,0,4,-4,1,1,2,380
162961416301911630595163109716418422044561630167163109316313231642402,1630595,1629614,1631097,1630191,1641842,1631093,1631323,1630167,1642402,204456,5,0,5,2,2,4,410
162961416301911630595163109316418422044561630167163132316417671642402,1630595,1629614,1630191,1641842,1631093,1631323,1630167,1642402,204456,1641767,4,4,0,3,2,5,860
162961416301911631093163132316418422044561627736163016716417671642402,1629614,1630191,1641842,1631093,1631323,1630167,1642402,204456,1641767,1627736,3,0,3,1,1,2,262
163016716301911631093163132316418422044561626167162773616310971641767,1630191,1641842,1631093,1631323,1630167,204456,1641767,1627736,1626167,1631097,0,0,0,1,1,2,162
20445616301671631093163132316417672026991627736162961416305951631097,1631093,1631323,1630167,204456,1641767,1627736,1631097,1629614,202699,1630595,3,1,2,1,1,2,216
204456163016716310931631323164176716261671627736163109716311051641842,1631093,1631323,1630167,204456,1641767,1627736,1631097,1626167,1631105,1641842,8,14,-6,7,8,15,2210
16261671627736162778316296141631097202699203501163016916301911630595,1627736,1631097,1626167,1627783,1629614,1630169,202699,203501,1630191,1630595,2,4,-2,4,4,8,1080
16261671627783162961416301691631097202699203501163019116305951631093,1631097,1626167,1627783,1629614,1630169,202699,203501,1630191,1630595,1631093,0,0,0,3,3,6,1160
16261671627783162961416301691631097202699203501163059516310931631105,1631097,1626167,1627783,1629614,1630169,202699,203501,1630595,1631093,1631105,4,7,-3,4,3,7,1380
162616716277831629614163016916310972026991627736163059516310931631105,1631097,1626167,1627783,1629614,1630169,202699,1630595,1631093,1631105,1627736,3,5,-2,4,4,8,1166
20269916277831629614163016916310972035011627736163017416305951631093,1631097,1627783,1629614,1630169,202699,1630595,1631093,1627736,1630174,203501,2,0,2,0,1,1,123
202699162778316296141630169163109716261671630595163109316311051641842,1631097,1627783,1629614,1630169,202699,1630595,1631093,1626167,1631105,1641842,0,2,-2,0,0,0,11
